corpus_id;sentence_position;position;value
4;2;22;entschpricht
4;2;23;.
4;3;1;Unn
4;3;1;ich
4;3;2;hab
4;3;3;hytt
4;3;4;de-n-
4;3;5;Entschluss
4;3;6;gfasst
4;3;7;,
4;3;8;nur
4;3;9;die
4;3;10;Frau
4;3;11;ze
4;3;12;hierothe
4;3;13;,
4;3;14;wie
4;3;15;mir
4;3;16;passt
4;3;17;.
4;4;1;Bravo
4;4;1;,
4;4;2;Auguste
4;4;3;,
4;4;4;ganz
4;4;5;vun
4;4;6;minere
4;4;7;Meinung
4;4;8;!
4;5;1;Dini
4;5;1;Aprobation
4;5;2;brücht
4;5;3;'r
4;5;4;allewäj
4;5;5;!
4;6;1;Ich
4;6;1;mach
4;6;2;'s
4;6;3;également
4;6;4;eso
4;6;5;.
4;7;1;Bravo
4;7;1;!
4;8;1;Alls
4;8;1;besser
4;8;2;!
4;9;1;Eh
4;9;1;bien
4;9;2;,
4;9;3;ich
4;9;4;garantier
4;9;5;Ejch
4;9;6;,
4;9;7;dass
4;9;8;Ihr
4;9;9;mine
4;9;10;Wille
4;9;11;reschpektiere
4;9;12;wäre
4;9;13;!
4;10;1;Du
4;10;1;,
4;10;2;Auguste
4;10;3;,
4;10;4;hierotsch
4;10;5;d'
4;10;6;mademoiselle
4;10;7;Riemer
4;10;8;.
4;11;1;Papa
4;11;1;niemols
4;11;2;!
4;12;1;Unn
4;12;1;wenn
4;12;2;du
4;12;3;bis
4;12;4;an
4;12;5;de
4;12;6;plafond
4;12;7;springsch
4;12;8;!
4;13;1;Fallt
4;13;1;m'r
4;13;2;nit
4;13;3;in
4;13;4;so
4;13;5;hoch
4;13;6;ze
4;13;7;springe
4;13;8;!
4;14;1;Geh
4;14;1;e
4;14;2;Gottsnamme
4;14;3;im
4;14;4;Deifel
4;14;5;zue
4;14;6;,
4;14;7;no
4;14;8;rennsch
4;14;9;au
