corpus_name;sentence_position;position;value
wikipedia2;9;17;dàs
wikipedia2;9;18;zeigt
wikipedia2;9;19;hàt
wikipedia2;9;20;vìllìcht
wikipedia2;9;21;dr
wikipedia2;9;22;Heinrich
wikipedia2;9;23;Eggestein
wikipedia2;9;24;.
wikipedia2;10;1;Denn
wikipedia2;10;2;dr
wikipedia2;10;3;Heinrich
wikipedia2;10;4;Eggestein
wikipedia2;10;5;hàt
wikipedia2;10;6;meegligerwiis
wikipedia2;10;7;z'
wikipedia2;10;8;Mainz
wikipedia2;10;9;vum
wikipedia2;10;10;Johann
wikipedia2;10;11;Gutenberg
wikipedia2;10;12;s
wikipedia2;10;13;Büechdrucka
wikipedia2;10;14;glehrt
wikipedia2;10;15;.
wikipedia2;11;1;Dr
wikipedia2;11;2;Eggestein
wikipedia2;11;3;hàt
wikipedia2;11;4;schiint
wikipedia2;11;5;'s
wikipedia2;11;6;sina
wikipedia2;11;7;eigena
wikipedia2;11;8;Offizin
wikipedia2;11;9;erscht
wikipedia2;11;10;ìn
wikipedia2;11;11;dr
wikipedia2;11;12;Mìttla
wikipedia2;11;13;vu
wikipedia2;11;14;da
wikipedia2;11;15;1460.
wikipedia2;11;16;Johra
wikipedia2;11;17;igrìchta
wikipedia2;11;18;.
wikipedia2;12;1;Wenn
wikipedia2;12;2;dàs
wikipedia2;12;3;stìmmt
wikipedia2;12;4;war
wikipedia2;12;5;àlso
wikipedia2;12;6;dr
wikipedia2;12;7;Johannes
wikipedia2;12;8;Mentelin
wikipedia2;12;9;noch
wikipedia2;12;10;vor
wikipedia2;12;11;em
wikipedia2;12;12;Heinrich
wikipedia2;12;13;Eggestein
wikipedia2;12;14;dr
wikipedia2;12;15;erscht
wikipedia2;12;16;Büechdrucker
wikipedia2;12;17;vu
wikipedia2;12;18;Stroßburri
wikipedia2;12;19;gsìì
wikipedia2;12;20;.
wikipedia2;13;1;Dr
wikipedia2;13;2;erscht
wikipedia2;13;3;Druck
wikipedia2;13;4;wo
wikipedia2;13;5;ma
wikipedia2;13;6;vum
wikipedia2;13;7;Nàma
wikipedia2;13;8;Mentelin
wikipedia2;13;9;erfàhrt
wikipedia2;13;10;ìsch
wikipedia2;13;11;„
wikipedia2;13;12;Augustinus'
